name,name_mn,calories,carbohydrate,sugars,fiber,protein,fat
"Eggplant, raw",,25.0,5.88,3.53,3.0,0.98,0.18
"Lamb, raw, ground",,282.0,0.0,0.0,0.0,16.56,23.41
"Cheese, camembert",,300.0,0.46,0.46,0.0,19.8,24.26
"Chicken, boiled, feet",,215.0,0.2,0.0,0.0,19.4,14.6
"Cheese, low fat, cream",,201.0,8.13,5.82,0.0,7.85,15.28
"Chewing gum, sugarless",,268.0,94.8,0.0,2.4,0.0,0.4
"Pasta, unenriched, dry",,371.0,74.67,2.67,3.2,13.04,1.51
"Cookies, Marie biscuit",,406.0,70.54,21.16,3.5,7.05,10.58
"Gravy, mix, dry, onion",,322.0,67.64,0.0,6.0,9.0,3.0
"Snacks, cakes, popcorn",,384.0,80.1,0.72,2.9,9.7,3.1
"Butter oil, anhydrous",,876.0,0.0,0.0,0.0,0.28,99.48
"Egg custards, dry mix",,410.0,82.8,0.0,0.0,6.9,6.4
"Peanut flour, low fat",,428.0,31.27,0.0,15.8,33.8,21.9
"Bread, toasted, wheat",,313.0,55.77,6.42,4.7,12.96,4.27
"Danish pastry, cheese",,374.0,37.2,6.95,1.0,8.0,21.9
"Oil, soybean lecithin",,763.0,0.0,0.0,0.0,0.0,100.0
"Egg, fresh, raw, yolk",,322.0,3.59,0.56,0.0,15.86,26.54
"Beef, pastrami, cured",,147.0,0.36,0.1,0.0,21.8,5.82
"Ice creams, chocolate",,216.0,28.2,25.36,1.2,3.8,11.0
"Snacks, potato sticks",,522.0,53.3,0.22,3.4,6.7,34.4
"Cream, cultured, sour",,198.0,4.63,3.41,0.0,2.44,19.35
"Cheese, port de salut",,352.0,0.57,0.57,0.0,23.78,28.2
SILK Original Creamer,,100.0,6.67,0.0,0.0,0.0,6.67
SILK Hazelnut Creamer,,133.0,20.0,20.0,0.0,0.0,6.67
"Soup, mix, dry, onion",,293.0,65.07,4.65,6.6,7.48,0.34
Bacon and beef sticks,,517.0,0.8,0.8,0.0,29.1,44.2
"Salami, pork, Italian",,425.0,1.2,1.2,0.0,21.7,37.0
"Crackers, whole-wheat",,427.0,69.55,1.19,10.3,10.58,14.13
"Fish, raw, butterfish",,146.0,0.0,0.0,0.0,17.28,8.02
"Lebanon bologna, beef",,172.0,0.44,0.0,0.0,19.03,10.44
Ham and cheese spread,,245.0,2.28,0.0,0.0,16.18,18.53
Ice cream sundae cone,,254.0,28.89,21.26,1.0,3.0,14.0
"Cabbage, cooked, napa",,12.0,2.23,0.0,0.0,1.1,0.17
"Candies, butterscotch",,391.0,90.4,80.46,0.0,0.03,3.3
Potato salad with egg,,157.0,16.18,4.95,1.3,1.96,9.4
"Cheese, Mexican blend",,358.0,1.75,1.23,0.0,23.54,28.51
"SILK Vanilla, soymilk",,41.0,4.12,2.88,0.4,2.47,1.44
SILK Peach soy yogurt,,94.0,18.82,14.71,0.6,2.35,1.18
SILK Plain soy yogurt,,66.0,9.69,5.29,0.4,2.64,1.76
"Pasta, enriched, dry",,371.0,74.67,2.67,3.2,13.04,1.51
"Cookies, gingersnaps",,416.0,76.9,19.92,2.2,5.6,9.8
"Sour cream, fat free",,74.0,15.6,0.39,0.0,3.1,0.0
"Frankfurter, chicken",,223.0,2.74,2.98,0.0,15.51,16.19
"Carrot juice, canned",,40.0,9.28,3.91,0.8,0.95,0.15
"Fruit butters, apple",,173.0,42.47,35.3,1.5,0.39,0.3
"Salami, beef, cooked",,261.0,1.9,1.5,0.0,12.6,22.2
"Spices, onion powder",,341.0,79.12,6.63,15.2,10.41,1.04
"Butter, without salt",,717.0,0.06,0.06,0.0,0.85,81.11
"Rice noodles, cooked",,108.0,24.01,0.03,1.0,1.79,0.2
Barley flour or meal,,345.0,74.52,0.8,10.1,10.5,1.6
"Garlic bread, frozen",,350.0,41.72,3.69,2.5,8.36,16.61
"KFC, Popcorn Chicken",,351.0,21.18,0.0,1.0,17.67,21.74
"SILK Coffee, soymilk",,62.0,10.29,9.47,0.0,2.06,1.44
"Rolls, wheat, dinner",,273.0,46.0,1.63,3.8,8.6,6.3
"Chicken, raw, ground",,143.0,0.04,0.0,0.0,17.44,8.1
"KEEBLER, Sugar Cones",,375.0,78.0,26.4,2.1,7.3,3.7
"Bread, cracked-wheat",,260.0,49.5,0.0,5.5,8.7,3.9
"Barley, raw, pearled",,352.0,77.72,0.8,15.6,9.91,1.16
"Polish sausage, pork",,326.0,1.63,0.0,0.0,14.1,28.72
"DENNY'S, onion rings",,385.0,41.05,4.76,2.4,5.29,22.23
"Oil, corn and canola",,884.0,0.0,0.0,0.0,0.0,100.0
"Crackers, egg, matzo",,391.0,78.6,0.0,2.8,12.3,2.1
"Soybean, curd cheese",,151.0,6.9,1.6,0.0,12.5,8.1
"Oil, ucuhuba butter",,884.0,0.0,0.0,0.0,0.0,100.0
"Fish, raw, milkfish",,148.0,0.0,0.0,0.0,20.53,6.73
"Mother's loaf, pork",,282.0,7.53,0.0,0.0,12.07,22.3
"Bread, toasted, rye",,284.0,53.1,4.23,6.4,9.4,3.6
"Oil, apricot kernel",,884.0,0.0,0.0,0.0,0.0,100.0
"Sweet rolls, cheese",,360.0,43.7,0.0,1.2,7.1,18.3
"Bread sticks, plain",,412.0,68.4,1.26,3.0,12.0,9.5
"SILK Mocha, soymilk",,58.0,9.05,7.41,0.0,2.06,1.44
Milk and cereal bar,,413.0,72.05,45.97,0.4,6.47,10.98
"Bread, pumpernickel",,250.0,47.5,0.53,6.5,8.7,3.1
"Soy flour, defatted",,327.0,33.92,16.42,17.5,51.46,1.22
"Bread, toasted, egg",,315.0,52.6,1.94,2.5,10.5,6.6
"Potatoes, skin, raw",,58.0,12.44,0.0,2.5,2.57,0.1
"Fish oil, cod liver",,902.0,0.0,0.0,0.0,0.0,100.0
"Gravy, dry, chicken",,381.0,62.09,0.0,0.0,11.27,9.73
"Ice creams, vanilla",,207.0,23.6,21.22,0.7,3.5,11.0
"SILK Plain, soymilk",,41.0,3.29,2.47,0.4,2.88,1.65
"Cabbage, raw, savoy",,27.0,6.1,2.27,3.1,2.0,0.1
Ice cream sandwich,,237.0,37.14,18.57,0.0,4.29,8.57
"Liver cheese, pork",,304.0,2.1,0.0,0.0,15.2,25.6
"Carrots, raw, baby",,35.0,8.24,4.76,2.9,0.64,0.13
"Oil, nutmeg butter",,884.0,0.0,0.0,0.0,0.0,100.0
"Snacks, corn cakes",,387.0,83.4,23.47,1.9,8.1,2.4
"Croissants, cheese",,414.0,47.0,11.35,2.6,9.2,20.9
"Milk, fluid, sheep",,108.0,5.36,0.0,0.0,5.98,7.0
"Beef, dried, cured",,153.0,2.76,2.7,0.0,31.1,1.94
"Fish oil, menhaden",,902.0,0.0,0.0,0.0,0.0,100.0
"Rolls, egg, dinner",,307.0,52.0,4.3,3.7,9.5,6.4
"Bread, white wheat",,238.0,43.91,5.0,9.2,10.66,2.15
"Onions, raw, sweet",,32.0,7.55,5.02,0.9,0.8,0.08
"Onions, raw, welsh",,34.0,6.5,2.18,2.4,1.9,0.4
"SILK Chai, soymilk",,53.0,7.82,5.76,0.0,2.47,1.44
"Cheese, neufchatel",,253.0,3.59,3.19,0.0,9.15,22.78
"Croissants, butter",,406.0,45.8,11.26,2.6,8.2,21.0
"Carrot, dehydrated",,341.0,79.57,38.82,23.6,8.1,1.49
"Soy flour, low-fat",,372.0,30.63,9.33,16.0,49.81,8.9
